"Site Crawled","https://veteranstransitionsupport.org/"
"Start Date","2026-05-14"
"Start Time","12:19:36"
"Last Modified Date","2026-05-14"
"Last Modified Time","12:21:21"
"Elapsed","00:01:44"
"Report Date","2026-05-14"
"Report Time","12:22:06"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Outlinks To Localhost","0","0.00%","89","Internal HTML pages with 2xx response"
"Non-Indexable Page Inlinks Only","0","0.00%","89","Internal HTML pages with 2xx response"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","92","Internal HTML URLs"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","92","Internal HTML URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","89","100.00%","89","Internal HTML pages with 2xx response"
"Contains Structured Data","0","0.00%","89","Internal HTML pages with 2xx response"
"Missing","0","0.00%","89","Internal HTML pages with 2xx response"
"Validation Errors","0","0.00%","89","Internal HTML pages with 2xx response"
"Validation Warnings","0","0.00%","89","Internal HTML pages with 2xx response"
"Rich Result Validation Errors","0","0.00%","89","Internal HTML pages with 2xx response"
"Rich Result Validation Warnings","0","0.00%","89","Internal HTML pages with 2xx response"
"Parse Errors","0","0.00%","89","Internal HTML pages with 2xx response"
"Microdata URLs","0","0.00%","89","Internal HTML pages with 2xx response"
"JSON-LD URLs","0","0.00%","89","Internal HTML pages with 2xx response"
"RDFa URLs","0","0.00%","89","Internal HTML pages with 2xx response"
"Rich Result Feature Detected","0","0.00%","89","Internal HTML pages with 2xx response"
""
"Sitemaps"
"All","93","100.00%","93","Internal HTML/XML pages"
"URLs in Sitemap","0","0.00%","93","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","93","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","93","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","93","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","93","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","93","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","93","Internal HTML/XML pages"
""
"PageSpeed"
"All","89","100.00%","89","Internal HTML URLs with 2xx response"
"Document Request Latency","0","0.00%","89","Internal HTML URLs with 2xx response"
"LCP Request Discovery","0","0.00%","89","Internal HTML URLs with 2xx response"
"Render Blocking Requests","0","0.00%","89","Internal HTML URLs with 2xx response"
"Network Dependency Tree","0","0.00%","89","Internal HTML URLs with 2xx response"
"Use Efficient Cache Lifetimes","0","0.00%","89","Internal HTML URLs with 2xx response"
"Layout Shift Culprits","0","0.00%","89","Internal HTML URLs with 2xx response"
"Optimize DOM Size","0","0.00%","89","Internal HTML URLs with 2xx response"
"Improve Image Delivery","0","0.00%","89","Internal HTML URLs with 2xx response"
"Forced Reflow","0","0.00%","89","Internal HTML URLs with 2xx response"
"Legacy JavaScript","0","0.00%","89","Internal HTML URLs with 2xx response"
"Duplicated JavaScript","0","0.00%","89","Internal HTML URLs with 2xx response"
"Font Display","0","0.00%","89","Internal HTML URLs with 2xx response"
"Avoid Enormous Network Payloads","0","0.00%","89","Internal HTML URLs with 2xx response"
"Minify CSS","0","0.00%","89","Internal HTML URLs with 2xx response"
"Minify JavaScript","0","0.00%","89","Internal HTML URLs with 2xx response"
"Reduce Unused CSS","0","0.00%","89","Internal HTML URLs with 2xx response"
"Reduce Unused JavaScript","0","0.00%","89","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","0","0.00%","89","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","0","0.00%","89","Internal HTML URLs with 2xx response"
"Request Errors","0","0.00%","89","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","89","100.00%","89",""
"Viewport Not Set","0","0.00%","89",""
"Target Size","0","0.00%","89",""
"Content Not Sized Correctly","0","0.00%","89",""
"Illegible Font Size","0","0.00%","89",""
"Contains Unsupported Plugins","0","0.00%","89",""
"Mobile Alternate Link","0","0.00%","89",""
""
"Accessibility"
"All","89","100.00%","89",""
"Accessibility Score Poor","0","0.00%","89",""
"Accessibility Score Needs Improvement","0","0.00%","89",""
"Accessibility Score Good","0","0.00%","89",""
"WCAG 2.0 A Violation","0","0.00%","89",""
"WCAG 2.0 AA Violation","0","0.00%","89",""
"WCAG 2.0 AAA Violation","0","0.00%","89",""
"WCAG 2.1 AA Violation","0","0.00%","89",""
"WCAG 2.2 AA Violation","0","0.00%","89",""
"Best Practice Violation","0","0.00%","89",""
"Accesskey Attribute Value Must Be Unique","0","0.00%","89",""
"Ensure Elements Marked Presentational Are Ignored","0","0.00%","89",""
"Elements Must Not Have Tabindex Greater Than Zero","0","0.00%","89",""
"Scrollable Region Requires Keyboard Access","0","0.00%","89",""
"Skip-link Target Should Exist & Be Focusable","0","0.00%","89",""
"Required ARIA Attributes Must Be Provided","0","0.00%","89",""
"Role=text Should Have No Focusable Descendants","0","0.00%","89",""
